Issue Type,Issue key,Issue id,Summary,Status,Outward issue link (Blocking),Outward issue link (Blocking),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Description,Custom field (Parent Link)
Requirement,DMFDREQ-925,81301,NAV SETUP MAG VAR ,Changed Requirement,,,,,,,,MFD-209,,,,,"The NAV SETUP Page shall display the MAG VAR setting as MAG or TRUE next to the MAG VAR soft key.

Reference Image

!image-2026-07-08-14-53-17-899.png!

!image-2026-07-08-14-53-59-375.png!",
Requirement,DMFDREQ-2260,115862,PLAN INS Version of SS2 Magnetic Model,New Requirement,,,,,,,,,,,,,"The PLAN INS page shall display the version of the magnetic model in format of ""WMM-XXXX"". ""XXXX"" is 4 digits of the WMM model year",
Requirement,DMFDREQ-2259,115400,PLAN INS Checksum of SS2 Magnetic Model File Color,Changed Requirement,,,DMFDREQ-2261,,,,,,,,,,"The PLAN INS page shall indicate a checksum mismatch of the magnetic model file using the following colors:
||Text Color||Back Color||Condition||Screenshot||
|White|Black|Checksums are the same for all MFDs|!image-2026-07-08-14-41-56-262.png!|
|Yellow|Black|Checksums are mismatched between one or more of the MFDs|!image-2026-07-08-14-41-05-669.png!|
|N/A|Red|The file does not exist|!image-2026-07-08-14-42-21-479.png!|",
Requirement,DMFDREQ-2264,119071,DIAG ADC FCC Used,In Requirement Review,,,,,,,,,,,,,"The DIAG ADC Page shall display FCC ID used for display.

 

Used: FCC-A, FCC-B, or FCC-C",
Requirement,DMFDREQ-2263,119070,DIAG ADC FCC Active,In Requirement Review,,,,,,,,,,,,,"The DIAG ADC Page shall display active FCC ID.

 

Active: FCC-A, FCC-B, FCC-C, or Unknown",
Requirement,DMFDREQ-94,73631,DIAG ADC Mach,In Requirement Review,,,,,,,,,,,,,"The DIAG ADC Page shall display Mach from the left ADC, right ADC, and ESIS, with each value shown in Mach using up to 5 characters, including three decimal places of precision.",
Requirement,DMFDREQ-1000,81376,Cross Track Error Line Calculation,In Requirement Review,,,,,,,,MFD-2806,,,,,"The Cross Track Error relative to a line (defined as a startPosition and an endPosition) shall be calculated as follows:

error = arcsin( sin(d13 / R) ⋅ sin(theta13 - theta12) ) ⋅ R

Where:
 * d13 is the distance between the startPosition and the vehicle position using Great Circle Calculation as defined in DMFDREQ-1777
 * theta12 is the bearing from startPosition to endPosition using DMFDREQ-1774
 * theta13 is the bearing from startPosition to vehicle position using DMFDREQ-1774
 * R is 3,440 Nautical Miles",
Requirement,DMFDREQ-1188,81564,Magnetic Variation,In Requirement Review,,,,,,,,MFD-3834,ASP-200,,,,The MFD shall use -9 degrees for Magnetic Variation,
Requirement,DMFDREQ-590,80966,ADC L NO COMM CAS Message,In Requirement Review,,,,,,,,MFD-1247,,,,,"MFD shall annunciate ""ADC L NO COMM"" CAS message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Caution|ADC 1 data stream invalid|5.0|0.5|YES|ENET FAIL|

ADC data stream is invalid if
 * AIR_DATA_SOLUTION packet is stale, OR
 * Validity flags in AIR_DATA_SOLUTION are all False except baro_correction_valid",
Requirement,DMFDREQ-591,80967,ADC R NO COMM CAS Message,In Requirement Review,,,,,,,,MFD-1248,,,,,"MFD shall annunciate ""ADC R NO COMM"" CAS message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Caution|ADC 2 data stream invalid|5.0|0.5|YES|ENET FAIL|

ADC data stream is invalid if
 * AIR_DATA_SOLUTION packet is stale, OR
 * Validity flags in AIR_DATA_SOLUTION are all False except baro_correction_valid",
Requirement,DMFDREQ-1777,82197,Great Circle Calculation,In Requirement Review,,,,,,,,MFD-2745,,,,,"*The distance between two points shall be calculated in nautical miles as follows:*
 * a = sin²(Δφ / 2) + cos(φ₁) ⋅ cos(φ₂) ⋅ sin²(Δλ / 2)
 * c = 2 ⋅ atan2(√a, √(1−a))
 * distance = R ⋅ c

Where:
 * φ₁ and φ₂ are the latitudes of the two points [radians]
 * Δφ is the difference between the latitudes [radians]
 * Δλ is the difference between the longitudes [radians]
 * R is 3,440 nautical miles",
Requirement,DMFDREQ-999,81375,Cross Track Error Arc Calculation,In Requirement Review,,,,,,,,MFD-2804,,,,," The Cross Track Error relative to a waypoint shall be calculated as follows:
||Description||Condition||Formula||
|Left Hand Arc|arcR > 0|error = arcR - posR|
|Right Hand Arc|arcR < 0|error = arcR + posR|

Where:
 * posR is the distance between the vehicle and the active waypoint using Great Circle Calculation as defined in DMFDREQ-1777
 * arcR is the radius of the active waypoint",
Requirement,DMFDREQ-576,80952,CABCTRL FAULT CAS Message,In Requirement Review,,,,,,,,MFD-1232,DMFDREQ-2146,,DMFDREQ-1893,,"MFD shall annunciate ""CABCTRL FAULT"" CAS message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||Data ID||Description||
|Caution|Primary or Backup Pressurization Controller faulted AND
ADC Altitude is invalid or > 23000 feet|0.5|0.5|NO| |PRIMARY_ECS_BITFIELD_VALVE_FAULT
EMERGENCY_ECS_BITFIELD_VALVE_FAULT
CC_A_L_ADC_ALTITUDE
CC_B_L_ADC_ALTITUDE
CC_C_L_ADC_ALTITUDE
CC_A_R_ADC_ALTITUDE
CC_B_R_ADC_ALTITUDE
CC_C_R_ADC_ALTITUDE
CC_A_ESIS_ADC_ALTITUDE
CC_B_ESIS_ADC_ALTITUDE
CC_C_ESIS_ADC_ALTITUDE|CABCTRL FAULTED|
|Caution|Difference in Cabin Altitude between Primary and Backup
Pressurization Controllers is more than 500 feet for at least 15 seconds|0.5|0.5|NO| |PRIMARY_ECS_ALTITUDE
EMERGENCY_ECS_ALTITUDE|CABCTRL FAULT ALTITUDE|
|Caution|Difference in Cabin Altitude Rate between Primary and Backup Pressurization Controllers is more than 500 feet/minute for at least 15 seconds |0.5|0.5|NO| |PRIMARY_ECS_RATE
EMERGENCY_ECS_RATE|CABCTRL FAULT RATE|",
Requirement,DMFDREQ-772,81148,COM XPDR Formatting,In Requirement Review,,,,,,,,MFD-1579,APRD-1611,,,,"The COM XPDR page shall be formatted as shown.

!image-2025-06-16-11-43-50-404.png!",
Requirement,DMFDREQ-1643,82020,COM 2 NO COMM CAS Message,In Requirement Review,,,,,,,,MFD-936,APRD-1636,,,,"The MFD shall annunciate ""COM 2 NO COMM"" CAS message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Caution|Stopped receiving packets from NavCom B|5.0|0.5|YES|ENET FAIL|",
Requirement,DMFDREQ-1642,82019,COM 1 NO COMM CAS Message,In Requirement Review,,,,,,,,MFD-935,APRD-1636,,,,"The MFD shall annunciate ""COM 1 NO COMM"" CAS message for these conditions:
||CAS Level||Condition||Throw Time||Dwell Time||Suppressed During Boost||Suppressed By||
|Caution|Stopped receiving packets from NavCom A|5.0|0.5|YES|ENET FAIL|",
Requirement,DMFDREQ-1035,81411,COM-COM COM 2 Tuning,In Requirement Review,,,,,,,,MFD-293,APRD-1579,,,,"The COM-COM Page shall use Left Knobs as shown for COM 2 FREQ tuning when COM2 is selected:
||Knob||Function||
|Outer Knob|Adjust MHz|
|Inner Knob|Adjust kHz|
|Center Button|Select and swap to the other COM|

!image-2021-06-30-08-16-01-341.png!",
Requirement,DMFDREQ-1033,81409,COM-COM COM 1 Tuning,In Requirement Review,,,,,,,,MFD-292,APRD-1579,,,,"The COM-COM Page shall use Left Knobs as shown for COM 1 FREQ tuning when COM 1 is selected:
||Knob||Function||
|Outer Knob|Adjust MHz|
|Inner Knob|Adjust kHz|
|Center Button|Select and swap to other COM|

!image-2021-06-30-08-16-50-800.png!",
